District,Dem,Rep,Total,Margin,Incumbency
TX-05,"71,930","135,595",211965,30.04%,1
TX-06,0,"149,321",149321,100.00%,1
TX-07,"115,994","65,835",181829,-27.59%,-1
TX-08,"68,715","153,127",224968,37.52%,0
TX-09,"125,446","38,161",163607,-53.35%,-1
TX-10,"86,404","159,469",251937,29.00%,1
TX-11,0,"151,066",151066,100.00%,1
TX-12,"85,026","152,953",237979,28.54%,1
TX-13,"52,910","161,767",214677,50.71%,1
TX-14,"63,606","149,543",213149,40.32%,1
TX-15,"68,097","80,978",151889,8.48%,0
TX-16,"95,510","54,986",150496,-26.93%,-1
TX-17,"72,801","144,408",217209,32.97%,1
TX-18,"110,511","40,941",156268,-44.52%,-1
TX-19,0,"152,321",189681,80.30%,1
TX-20,"115,352","53,226",168599,-36.85%,-1
TX-21,"122,655","207,426",330081,25.68%,1
TX-22,"85,653","150,014",241215,26.68%,1
TX-23,"80,947","116,649",208776,17.10%,1
TX-24,"119,878","177,947",297825,19.50%,1
TX-25,0,"185,270",185270,100.00%,1
TX-26,0,"183,639",265023,69.29%,1
TX-27,"73,611","133,416",207027,28.89%,1
TX-28,"93,803","71,778",165581,-13.30%,-1
TX-29,"71,837","28,765",100602,-42.81%,-1
TX-30,"134,876","39,209",180513,-53.00%,0
TX-31,0,"183,185",183185,100.00%,1
TX-32,"116,005","61,494",177499,-30.71%,-1
TX-33,"82,081","29,203",114030,-46.37%,-1
TX-34,"70,896","59,464",134439,-8.50%,0
TX-35,"129,599","48,969",178568,-45.15%,0
TX-36,"64,016","145,599",209615,38.92%,1
TX-37,"219,358","59,923",285789,-55.79%,-1
TX-38,"92,302","163,597",259869,27.43%,0
UT-01,"87,986","178,434",266420,33.95%,1
UT-02,"88,224","154,883",259399,25.70%,1
UT-03,"83,687","182,497",283380,34.87%,1
UT-04,"82,181","155,110",254059,28.71%,1
VA-01,"147,229","191,828",342742,13.01%,1
VA-02,"143,219","153,328",296996,3.40%,-1
VA-03,"139,659","67,668",207850,-34.64%,-1
VA-04,"159,044","85,503",244978,-30.02%,-1
VA-05,"129,996","177,191",307790,15.33%,1
VA-06,"95,410","173,352",269234,28.95%,1
VA-07,"143,357","130,586",274590,-4.65%,-1
VA-08,"197,760","66,589",268936,-48.77%,-1
VA-09,"66,027","182,207",248792,46.70%,1
VA-10,"157,405","138,163",296145,-6.50%,-1
VA-11,"193,190","95,634",289676,-33.68%,-1
VT-AL,"176,494","78,397",282566,-34.72%,0
WA-01,"181,992","104,329",286684,-27.09%,-1
WA-02,"202,980","134,335",337923,-20.31%,-1
WA-03,"160,314","157,685",319759,-0.82%,0
WA-04,"70,710","150,619",226647,35.26%,1
WA-05,"127,585","188,648",317006,19.26%,1
WA-06,"208,710","138,754",347873,-20.11%,-1
WA-07,"295,998","49,207",346647,-71.19%,-1
WA-08,"179,003","155,976",336038,-6.85%,-1
WA-09,"171,746","67,631",239848,-43.41%,-1
WA-10,"152,544","114,777",267748,-14.11%,-1
WI-01,"135,825","162,610",300867,8.90%,1
WI-02,"268,740","101,890",378537,-44.08%,-1
WI-03,"152,977","164,743",317922,3.70%,0
WI-04,"191,955","57,660",255012,-52.66%,-1
WI-05,"134,581","243,741",378523,28.84%,1
WI-06,0,"239,231",251999,94.93%,1
WI-07,"128,877","209,224",338268,23.75%,1
WI-08,0,"223,981",308229,70.94%,1
WV-01,"65,428","151,511",227196,37.89%,1
WV-02,"84,278","160,493",244771,31.14%,1
WY-AL,"47,250","132,206",193902,43.81%,0
