District,rep_raise,rep_spend,dem_raise,dem_spend
OH-06,"$1,666,836 ","$1,487,092 ","$132,248 ","$130,506 "
OH-07,"$2,978,032 ","$2,872,450 ","$260,743 ","$260,743 "
OH-08,"$928,324 ","$990,741 ",,
OH-09,"$1,073,318 ","$1,056,127 ","$3,385,057 ","$3,737,959 "
OH-10,"$1,500,544 ","$987,036 ","$44,622 ","$45,453 "
OH-11,,,"$4,648,901 ","$4,317,995 "
OH-12,"$1,910,969 ","$1,490,185 ",,
OH-13,"$2,176,260 ","$2,158,210 ","$2,502,097 ","$2,428,300 "
OH-14,"$2,577,928 ","$1,337,362 ","$79,382 ","$78,441 "
OH-15,"$2,333,713 ","$2,178,695 ","$39,994 ","$40,845 "
OK-01,"$1,385,909 ","$962,378 ","$34,099 ","$31,985 "
OK-02,"$646,695 ","$566,687 ","$7,707 ","$7,072 "
OK-03,"$1,519,353 ","$1,595,882 ",,
OK-04,"$2,314,440 ","$2,292,999 ","$4,494 ",$0 
OK-05,"$2,349,161 ","$1,943,269 ","$72,529 ","$59,997 "
OR-01,,,"$1,025,924 ","$919,698 "
OR-02,"$1,173,362 ","$558,132 ","$98,834 ","$92,027 "
OR-03,"$14,921 ","$8,342 ","$1,347,221 ","$1,285,374 "
OR-04,"$4,399,842 ","$4,395,034 ","$2,545,002 ","$2,490,024 "
OR-05,"$2,524,814 ","$2,519,449 ","$3,611,348 ","$3,503,809 "
OR-06,"$3,926,446 ","$3,923,031 ","$3,363,787 ","$3,306,144 "
PA-01,"$4,399,190 ","$2,967,971 ","$967,721 ","$956,180 "
PA-02,,,"$1,586,924 ","$762,146 "
PA-03,,,"$1,134,548 ","$1,144,631 "
PA-04,"$239,391 ","$233,953 ","$1,943,102 ","$1,760,770 "
PA-05,"$744,682 ","$732,589 ","$1,583,246 ","$1,451,926 "
PA-06,"$1,019,649 ","$1,003,526 ","$4,769,076 ","$4,834,217 "
PA-07,"$6,249,830 ","$6,278,989 ","$6,898,708 ","$6,822,077 "
PA-08,"$2,977,169 ","$2,911,366 ","$5,294,331 ","$5,381,559 "
PA-09,"$1,077,325 ","$1,082,295 ","$30,499 ","$30,302 "
PA-10,"$2,950,572 ","$2,849,391 ","$405,009 ","$402,251 "
PA-11,"$1,498,217 ","$1,267,970 ","$316,508 ","$310,160 "
PA-12,"$198,855 ","$193,276 ","$1,814,258 ","$1,760,846 "
PA-13,"$1,512,555 ","$408,632 ",,
PA-14,"$1,963,880 ","$2,048,565 ",,
