District,Biden,Trump,Clinton,Trump16
TN-03,33.1,65,29.9,65.1
TN-04,30.2,67.9,27.3,68.4
TN-05,43.2,54.5,38.5,55.6
TN-06,34.5,63.7,31.9,63.7
TN-07,41.3,56.4,38.8,56
TN-08,30.6,68,28.8,67.8
TN-09,73.2,25.1,71.8,25
TX-01,26.5,72.3,24.6,72.4
TX-02,37.9,60.7,31.6,63.3
TX-03,41.9,56.3,34,60
TX-04,36.3,62.3,30.5,64.8
TX-05,38.2,60.6,33.9,62.8
TX-06,37.4,61.3,32.5,63.7
TX-07,64.2,34.4,62.5,32.6
TX-08,35.8,62.9,32.1,64
TX-09,76.1,22.7,77,19.7
TX-10,39.7,58.4,34,60.2
TX-11,29.1,69.4,26.9,69.1
TX-12,40.1,58.2,34.6,60.2
TX-13,26.4,71.9,22.1,73.5
TX-14,35,63.5,33.9,62.4
TX-15,48.1,50.9,54.7,41.5
TX-16,66.9,31.5,68,26.1
TX-17,37.9,60.5,33.6,61.9
TX-18,73.5,25.1,73.8,22.2
TX-19,26.2,72.3,23.4,71.9
TX-20,65.7,32.6,63,31.1
TX-21,39.4,59.1,33.3,61.1
TX-22,41.5,57,35.7,59.9
TX-23,45.7,53,45.5,49.6
TX-24,43.1,55.3,35.4,59.3
TX-25,33.7,64.9,29.5,66.3
TX-26,40,58.5,32.1,62.7
TX-27,38.1,60.5,37.2,58.8
TX-28,52.8,45.8,57.4,38.3
TX-29,67.8,31,73,23.4
TX-30,77.8,21,76.7,20.4
TX-31,38.8,59.1,31.8,61.7
TX-32,65.6,32.6,60.5,34.4
TX-33,74.2,24.3,73.9,22.4
TX-34,57.2,41.7,66.1,29.9
TX-35,71.6,26.4,68.1,25.7
TX-36,33.6,65.2,31.6,64.9
TX-37,75.2,22.6,68.8,23.7
TX-38,40.2,58.4,34.2,60.9
UT-01,37.6,57,28.5,43.7
UT-02,39.1,56,30.7,46.8
UT-03,37.6,56.8,26.2,46.3
UT-04,34.4,60,24.3,45.3
VA-01,45.7,52.4,40.1,53.7
VA-02,49.9,48.1,44.3,49.8
VA-03,68.1,29.9,63.9,30.7
VA-04,67.1,31.3,63.3,32
VA-05,45,53.2,41.8,53.1
VA-06,38,60.1,34.3,59.9
VA-07,52.4,45.7,48.1,45.9
VA-08,76.7,21.1,72.3,20.7
VA-09,28.3,70.2,27.2,68.4
VA-10,58,40,50.5,42.9
VA-11,69.5,28.4,63.4,29.5
VT-AL,66.1,30.7,55.7,29.8
WA-01,63.5,33.1,58.9,33.1
WA-02,59.7,37,55,37
WA-03,46.3,50.5,42.4,50
WA-04,40,56.9,35.6,57.3
WA-05,43.2,53.1,38.7,52.7
WA-06,56.7,39.6,51.6,39.7
WA-07,86.3,11.2,83.4,11
WA-08,51.7,45,47.7,44.5
WA-09,71,26.3,68.7,24.9
WA-10,56.9,39.3,52.2,39.1
WI-01,48.1,50.1,45.5,48.2
WI-02,70,28.3,65.6,27.9
WI-03,46.7,51.4,44.3,48.8
WI-04,75.6,22.7,72,22.3
WI-05,37.8,60.6,33.3,60.2
WI-06,41.3,56.9,38,55.1
WI-07,39.2,59.1,36.9,57.2
WI-08,41.4,56.9,38.5,55.6
WV-01,28.8,69.7,25.8,68.7
WV-02,30.6,67.6,26.5,67
WY-AL,26.6,69.9,21.9,68.2
