District,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander
TN-04,"587,445","461,084","38,964","57,907","13,978","14,896",716
TN-05,"582,505","418,881","51,058","73,823","27,435","11,531",782
TN-06,"603,423","483,180","38,463","56,693","9,376","15,119",757
TN-07,"597,796","429,888","37,116","99,724","16,900","13,766","1,620"
TN-08,"596,851","446,797","17,523","105,903","13,994","11,243",679
TN-09,"583,387","166,369","44,938","351,708","15,019","8,961",637
TX-01,"585,265","371,950","82,669","107,096","8,526","16,548",787
TX-02,"557,917","296,409","151,304","68,462","30,513","15,876","1,645"
TX-03,"559,329","332,029","80,057","56,991","76,459","15,296","1,182"
TX-04,"577,526","363,615","71,788","56,043","68,304","18,424","1,013"
TX-05,"573,597","300,372","148,251","81,400","30,519","18,654",856
TX-06,"572,594","279,352","173,016","83,603","24,448","18,081","1,468"
TX-07,"594,919","179,683","168,560","116,791","127,236","11,783","1,066"
TX-08,"565,897","276,028","167,949","74,409","37,361","17,324","1,019"
TX-09,"565,956","78,651","206,142","218,536","63,617","12,541",895
TX-10,"591,007","351,567","129,974","61,608","36,361","14,435","1,000"
TX-11,"567,819","270,981","200,105","70,145","16,464","16,297","3,748"
TX-12,"580,455","341,653","125,768","69,461","29,723","17,459","1,491"
TX-13,"585,231","363,053","144,154","44,023","17,643","20,339","1,049"
TX-14,"585,292","327,812","130,969","94,668","20,408","14,715",782
TX-15,"551,585","96,801","434,980","8,655","8,062","9,840",402
TX-16,"573,880","74,487","463,686","23,499","12,123","13,935","1,750"
TX-17,"589,524","333,951","131,353","94,305","18,552","15,441","1,105"
TX-18,"576,291","111,891","229,406","198,049","35,620","15,112","1,480"
TX-19,"578,679","310,685","201,052","42,663","13,951","15,494",988
TX-20,"574,548","113,466","392,056","41,320","26,992","17,195","1,907"
TX-21,"604,056","375,418","168,362","26,729","21,467","16,711","1,785"
TX-22,"557,229","252,124","146,574","68,178","82,839","11,298",810
TX-23,"568,074","177,580","340,976","26,217","18,844","13,615","1,564"
TX-24,"581,738","377,683","90,349","44,772","54,234","15,259","2,583"
TX-25,"586,313","364,328","110,135","72,332","24,566","17,935","1,700"
TX-26,"569,880","341,892","97,018","56,050","60,224","17,354","1,190"
TX-27,"585,427","242,429","292,191","29,835","12,872","14,032",999
TX-28,"552,637","106,857","402,711","31,283","8,615","12,040","1,248"
TX-29,"547,845","54,519","396,804","80,103","16,686","16,681",839
TX-30,"577,974","123,551","185,018","242,224","23,959","14,905",895
TX-31,"574,120","361,417","116,544","51,356","31,029","17,261","2,758"
TX-32,"593,970","214,855","193,923","120,350","57,884","16,297","1,070"
TX-33,"555,227","87,980","302,355","113,394","48,580","15,217",960
TX-34,"542,730","51,797","480,322","4,506","5,090","8,023",368
TX-35,"583,808","173,708","299,295","81,035","26,860","18,289","4,110"
TX-36,"578,116","306,182","158,989","74,367","27,369","15,216",849
TX-37,"622,654","344,351","156,490","42,510","69,769","15,971","1,432"
TX-38,"577,591","306,886","136,024","60,873","65,153","14,011","1,042"
UT-01,"584,771","470,465","68,485","10,562","20,609","12,494","4,318"
UT-02,"594,250","436,443","99,237","11,999","22,256","15,999","12,110"
UT-03,"592,597","472,396","65,830","7,430","21,634","18,634","7,843"
UT-04,"552,433","418,696","83,058","9,888","21,782","11,647","10,226"
VA-01,"610,718","446,165","27,183","86,550","38,732","11,265","1,050"
VA-02,"609,706","373,699","38,349","146,054","42,343","13,177","2,227"
VA-03,"613,711","257,534","45,253","278,424","27,101","14,548","2,531"
VA-04,"629,882","284,553","52,022","265,407","21,090","12,300","1,171"
VA-05,"634,064","443,770","22,567","137,809","18,796","10,716",689
VA-06,"622,681","503,600","39,734","53,948","13,352","12,214",758
VA-07,"585,236","316,916","89,659","131,330","39,005","14,988","1,784"
VA-08,"619,604","323,268","114,046","86,661","89,901","11,991","1,449"
VA-09,"640,412","556,950","15,730","41,051","13,826","11,118",582
VA-10,"574,013","320,464","92,067","56,802","97,201","10,787","1,188"
